agri_risk_score,claims_history_index,yield_stability,weather_volatility,market_stability,soil_quality,insurance_risk_score
35.4,0.39,0.75,0.5,0.75,0.83,34.0
24.9,0.12,0.7,0.22,0.8,0.95,16.7
41.6,0.47,0.44,0.43,0.74,0.75,36.3
16.0,0.34,0.6,0.4,0.7,0.83,32.6
55.0,0.72,0.38,0.63,0.64,0.77,59.9
11.1,0.0,0.91,0.37,0.7,1.0,16.2
51.0,0.38,0.45,0.62,0.86,0.6,50.2
17.7,0.23,0.62,0.22,0.79,0.93,18.6
19.8,0.09,0.71,0.19,0.7,0.86,10.2
37.6,0.44,0.71,0.33,0.9,0.92,30.4
54.3,0.37,0.69,0.45,0.79,1.0,27.9
8.5,0.08,0.92,0.08,0.62,0.78,14.2
35.8,0.45,0.8,0.52,0.78,0.98,34.9
27.3,0.12,0.83,0.34,0.73,0.77,18.1
13.4,0.12,0.78,0.12,0.69,1.0,7.0
35.3,0.34,0.79,0.48,0.84,0.84,29.1
13.3,0.19,1.0,0.19,0.72,0.95,18.7
32.6,0.26,0.6,0.25,0.77,0.82,21.4
16.6,0.02,0.84,0.17,0.67,0.81,18.4
20.8,0.0,0.71,0.34,0.94,0.89,18.1
26.3,0.4,0.55,0.42,0.39,0.83,35.7
39.0,0.47,0.76,0.35,0.62,0.97,35.7
15.4,0.15,1.0,0.28,0.73,0.88,11.3
30.6,0.3,0.69,0.21,0.73,0.93,27.4
20.3,0.25,0.72,0.23,0.71,0.87,21.7
18.4,0.28,0.98,0.18,0.78,1.0,19.3
36.8,0.17,0.81,0.28,0.69,0.6,26.1
20.2,0.02,0.67,0.29,0.98,0.83,13.4
18.6,0.0,0.83,0.32,0.38,0.86,22.5
28.4,0.25,1.0,0.21,0.73,0.77,20.4
10.0,0.12,1.0,0.11,0.8,1.0,13.3
20.8,0.31,0.65,0.43,0.52,1.0,25.9
31.0,0.02,0.48,0.28,0.69,1.0,23.6
4.4,0.0,1.0,0.26,0.71,0.79,9.6
12.5,0.14,0.98,0.31,0.68,0.93,22.5
21.1,0.24,0.9,0.24,0.7,0.84,20.5
35.8,0.34,0.72,0.31,0.9,0.77,36.3
65.2,0.54,0.39,0.53,0.49,0.49,54.3
16.2,0.09,0.77,0.28,0.75,0.95,6.3
6.9,0.06,0.84,0.16,0.67,1.0,0.0
7.7,0.0,1.0,0.2,0.9,0.99,5.7
17.4,0.09,0.72,0.37,0.68,0.57,15.2
54.3,0.41,0.21,0.53,0.5,0.73,38.1
6.2,0.11,0.96,0.34,0.5,0.96,15.3
23.6,0.14,0.81,0.36,0.8,0.93,27.9
31.3,0.18,0.98,0.28,0.45,0.89,24.4
15.3,0.1,0.85,0.26,0.55,0.79,19.5
38.7,0.46,0.41,0.51,0.72,0.78,46.6
48.5,0.48,0.7,0.4,0.89,0.88,36.6
9.6,0.21,0.9,0.29,0.61,0.88,24.0
36.6,0.46,0.61,0.27,0.77,0.81,30.5
29.8,0.22,0.53,0.49,0.76,0.97,31.3
22.4,0.24,0.85,0.36,0.51,0.97,23.3
16.4,0.27,0.86,0.16,0.89,1.0,16.1
46.1,0.41,0.55,0.59,0.8,0.78,52.6
9.8,0.12,1.0,0.09,0.74,1.0,7.1
17.9,0.09,0.98,0.25,0.8,1.0,6.8
34.3,0.32,0.71,0.46,0.92,0.88,40.6
27.5,0.25,0.81,0.47,0.74,0.8,29.3
44.3,0.51,0.61,0.41,0.53,0.74,41.9
13.3,0.09,1.0,0.34,0.62,1.0,10.8
40.1,0.42,0.46,0.34,0.58,0.92,40.7
32.3,0.36,0.51,0.24,0.41,0.79,43.8
29.2,0.21,0.53,0.21,0.64,0.94,20.0
11.4,0.07,0.96,0.28,0.9,0.98,3.1
34.2,0.39,0.64,0.29,0.64,0.71,31.7
17.0,0.35,0.66,0.13,0.69,0.99,15.3
80.1,0.68,0.17,0.85,0.69,0.46,85.6
13.2,0.18,1.0,0.16,0.72,0.79,14.7
12.5,0.25,0.94,0.23,0.79,0.87,12.3
33.7,0.35,0.88,0.42,0.6,0.78,18.7
3.4,0.0,0.77,0.07,0.83,0.91,9.2
15.9,0.15,0.88,0.22,0.9,0.92,24.4
26.2,0.16,0.82,0.38,0.79,0.64,23.8
24.9,0.2,0.85,0.37,0.69,0.75,28.8
6.9,0.11,0.89,0.3,0.56,0.92,12.6
46.0,0.45,0.69,0.45,0.8,0.75,39.9
54.1,0.56,0.53,0.65,0.51,0.84,57.8
26.1,0.14,0.75,0.39,0.83,1.0,23.1
6.8,0.01,0.87,0.22,0.57,0.99,22.1
4.7,0.11,0.73,0.07,0.97,1.0,10.6
12.7,0.0,0.59,0.26,0.8,0.77,6.0
32.7,0.19,0.57,0.41,0.65,0.84,35.4
11.9,0.09,0.86,0.31,0.82,1.0,9.4
10.8,0.06,0.79,0.29,0.88,0.71,15.7
32.5,0.4,0.73,0.39,0.44,0.86,42.8
21.9,0.0,0.9,0.33,0.78,0.85,12.9
30.5,0.3,0.51,0.45,0.65,0.9,41.7
40.4,0.54,0.68,0.39,0.73,0.85,41.8
18.4,0.22,0.81,0.17,0.7,0.86,13.6
23.4,0.08,0.51,0.43,0.46,0.79,27.8
17.5,0.42,0.96,0.41,0.94,0.94,26.6
26.7,0.21,0.59,0.32,0.82,0.8,22.9
23.9,0.0,1.0,0.46,0.87,1.0,12.4
32.6,0.41,0.85,0.32,0.87,0.77,21.3
44.3,0.36,0.54,0.33,0.44,0.75,39.0
38.6,0.57,0.61,0.44,0.99,0.79,41.4
9.6,0.17,0.7,0.33,0.86,1.0,15.7
20.9,0.42,1.0,0.33,0.7,0.95,25.7
16.6,0.06,0.71,0.12,0.75,1.0,13.1
22.7,0.36,0.78,0.16,0.19,0.88,24.7
47.6,0.39,0.43,0.55,0.5,0.7,50.2
11.6,0.15,0.95,0.33,0.68,0.82,21.3
17.2,0.19,0.83,0.2,0.82,0.89,14.2
24.1,0.38,0.67,0.31,0.81,0.86,30.7
19.7,0.28,0.87,0.43,0.77,1.0,21.9
15.5,0.11,1.0,0.25,0.53,1.0,12.8
30.2,0.41,0.7,0.25,0.73,0.96,38.1
26.3,0.25,0.41,0.46,0.83,0.85,31.8
17.8,0.25,0.88,0.27,0.61,0.61,27.1
7.1,0.1,0.71,0.15,0.41,0.93,18.0
36.8,0.35,0.43,0.29,0.54,0.8,33.8
16.5,0.03,0.61,0.25,0.71,0.92,19.0
64.6,0.67,0.46,0.68,0.89,0.76,64.8
50.3,0.44,0.28,0.57,0.87,0.7,46.5
40.9,0.29,0.74,0.44,0.92,0.82,27.5
37.8,0.46,0.74,0.48,0.52,0.79,39.8
48.1,0.42,0.39,0.44,0.66,0.88,49.7
45.0,0.27,0.62,0.54,0.62,0.83,44.5
31.5,0.32,0.86,0.25,0.66,0.86,24.4
34.6,0.33,0.57,0.3,0.24,0.78,44.0
53.9,0.53,0.65,0.64,0.85,0.72,53.9
30.6,0.3,0.72,0.3,0.65,1.0,33.5
14.6,0.04,0.75,0.16,0.9,0.93,6.3
45.2,0.41,0.67,0.34,0.73,0.66,30.1
36.0,0.46,0.53,0.37,0.9,0.96,47.4
6.2,0.15,1.0,0.06,0.79,1.0,7.7
23.3,0.2,0.59,0.31,0.81,0.8,20.6
19.2,0.25,1.0,0.41,0.86,0.96,18.0
52.0,0.53,0.51,0.6,0.9,0.78,48.5
22.0,0.19,0.89,0.17,0.54,0.7,14.2
13.8,0.26,0.8,0.19,0.89,0.96,19.6
